date,ask_C,ask_mm,wcus_C,wcus_mm,acn_C,acn_mm,acs_C,acs_mm,gp_C,gp_mm,ice_C,ice_mm,sva_C,sva_mm,sav_C,sav_mm,rac_C,rac_mm,na_C,na_mm,ce_C,ce_mm,cme_C,cme_mm,ca_C,ca_mm,saw_C,saw_mm,sae_C,sae_mm,lol_C,lol_mm,san_C,san_mm,nz_C,nz_mm,as_C,as_mm
1/1/2000,-18.6397323,2.173938913,-10.99996031,5.989988927,-21.03880519,0.093433232,-31.69257553,0.095297802,-16.64211793,4.187291723,-8.444832707,8.196983365,-8.065109501,0.48394375,-8.492599688,5.441991765,-17.70889758,0.95401923,-22.17891118,1.454638953,-12.81535432,1.127994248,-3.551312253,0.00528654,-19.35338932,0.535104693,-22.5999408,0.001070334,-15.61113522,0.119870916,5.16167971,10.50906879,4.195993667,16.74315541,9.638604184,8.055202978,-4.584799239,0.993301988
2/1/2000,-20.05028665,0.306513183,-12.75192973,2.638170707,-22.51905431,0.388269572,-34.21382349,0.043040067,-16.37552315,2.667550922,-10.28213958,2.113667411,-7.523734025,1.790979318,-8.099304459,13.70091424,-19.33556309,1.037722682,-21.10202568,1.557945342,-10.95669868,0.471371922,-5.569297523,0.179402322,-18.23298028,1.533615999,-21.99968414,0.002755438,-15.36030632,0.168974105,4.675771897,7.34309977,5.916653243,8.564907399,4.93117206,31.84276894,-4.286208324,1.568418496
3/1/2000,-18.58992101,1.146233724,-13.76953187,5.884055024,-28.76405918,0.069968051,-33.20236515,0.152925408,-20.68435856,0.821418175,-12.11327878,0.105703386,-7.2401676,2.549799081,-7.215469792,12.01166379,-20.00149457,1.666313125,-23.75370479,0.905435233,-9.88125993,0.000460211,-6.910811937,5.691609371,-18.63816972,2.081831542,-22.48179206,0.002094091,-15.18117819,0.1944441,4.602172269,5.444489914,6.727348601,10.90260294,1.437335536,5.462349643,-4.419607795,1.259922528
4/1/2000,-17.55805239,4.441861014,-10.92382334,20.65750431,-28.81054688,0.048194654,-32.05267158,0.197346332,-22.20596349,0.559773847,-13.09596325,0.909333776,-5.83274904,3.347116669,-7.116780928,9.284963739,-22.43527257,1.62411007,-27.26518311,0.437565866,-9.374877371,0.113245499,-8.143690559,5.375973163,-18.89130973,0.72079196,-22.42120865,0.004117307,-15.51694329,0.346810223,4.702838759,4.961013046,3.06415263,29.78349537,6.759008258,0.159968846,-4.748751573,1.082007588
5/1/2000,-17.43330119,3.43320108,-10.7092814,2.844403626,-28.42224779,0.014495377,-32.41784009,0.225928873,-22.88779922,0.383854946,-13.45961117,1.958163101,-5.946524085,2.979850332,-8.069978461,4.023923058,-23.3395226,0.398750125,-25.36250923,0.248409181,-10.49316981,0.588912564,-9.434665776,2.188891509,-18.63739185,0.101782393,-22.98227373,0.006906509,-15.50911566,0.53461454,3.948415155,7.714553802,1.670030344,10.17253714,8.667937368,0.745790824,-4.850380276,0.681099658
6/1/2000,-13.89669933,9.669667565,-10.11183291,12.04304692,-28.59858162,0.015938435,-33.08751797,0.137290328,-23.40247776,0.449389644,-13.52860236,7.787727628,-6.687462893,5.329952825,-7.055302101,16.13162583,-24.4496485,0.206108934,-21.43219309,0.998919631,-10.40847727,0.001253823,-11.22398815,1.043846892,-18.17287802,0.767285017,-22.18093222,0.131103838,-15.61344078,1.086892868,3.189970051,8.136739697,1.855902546,21.05314648,9.312667315,0.544004401,-4.335922929,2.613446291
7/1/2000,-10.93525892,12.03235575,-8.172168226,11.85969815,-29.232603,0.027800765,-33.8437144,0.2670924,-23.58702002,0.441213463,-9.964306111,10.14559081,-6.285069829,10.1783268,-5.424427143,17.38564078,-26.81850962,0.154127355,-21.8919406,0.494366735,-9.907327389,0.000932991,-12.28498625,0.152514046,-17.70554553,1.44352157,-20.91289696,2.271800108,-14.68518258,0.334468303,3.109782536,5.796905637,0.312103593,31.07439965,8.010820241,1.838854037,-4.342536441,2.07971805
8/1/2000,-12.11550637,11.35217151,-7.715692416,18.22020337,-28.71761272,0.012930048,-34.11212346,0.121053014,-22.3422279,2.333409428,-10.94596681,1.617448506,-7.354850758,8.148978088,-4.402117531,21.94224842,-29.63075019,0.220972435,-21.99061313,1.155643836,-12.12321248,0.0038187,-11.80142622,0.01488649,-17.86275553,2.592197578,-19.67167016,3.923344209,-13.76915631,1.467959078,3.556541978,6.562239081,0.526520802,24.33886381,7.705140171,0.528672972,-5.410882891,0.721726057
9/1/2000,-17.03106543,1.393119279,-11.05867363,12.4156446,-27.34844146,0.062224891,-34.4032919,0.202797497,-22.35175909,2.306737063,-9.791159926,16.52144532,-12.70215312,1.726223269,-5.584269026,13.3255611,-30.08984616,0.306379563,-20.91863744,4.225990068,-12.47026812,1.109492134,-11.1562988,0.018647351,-20.99521106,1.048262471,-20.67489576,4.279896297,-13.98505607,3.115637653,3.863895463,7.069277247,0.424601613,18.83078812,9.526636153,0.703682954,-4.661233044,0.889484538
10/1/2000,-20.76739276,0.539593107,-13.98423387,4.01912614,-27.86891341,0.099647505,-34.68879346,0.210685082,-23.62294303,1.959393315,-6.479736184,13.88147491,-16.79033081,0.817995085,-6.07916356,9.580214971,-30.28914562,0.197144532,-22.38667397,1.572207747,-10.68165997,0.422471167,-12.211904,0.008680764,-22.81741408,0.368938198,-23.79459162,1.899394765,-14.24994782,2.45759442,4.036204961,9.136589222,1.132873656,15.99998843,9.410699966,1.20440704,-4.305891565,0.604311393
11/1/2000,-23.72100538,0.208800114,-16.50237111,1.503205543,-32.20416101,0.072807638,-34.34484251,0.814709456,-25.77851997,0.475572006,-12.05381283,1.038206605,-13.80926312,8.941529316,-5.52901804,13.24282065,-31.50387087,0.124104349,-20.20891381,3.845644633,-13.67579065,0.05382624,-13.87037184,0.378390111,-21.327693,0.571732994,-21.09980382,7.161635441,-13.7419376,3.507934138,4.007972577,9.067075906,1.742852254,9.205859762,9.543566684,1.39404433,-4.654302872,0.924608439
12/1/2000,-25.40314272,0.169705546,-17.1298904,2.043354028,-33.10204481,0.209213194,-32.43223176,0.728221844,-27.52910135,1.358121756,-11.61574327,2.594674075,-8.94823025,14.64046085,-6.163916007,11.8150187,-31.34101588,0.084563518,-20.00176486,2.717611683,-14.43030241,0.007755806,-15.16699222,1.334296177,-20.69560597,0.500428613,-18.93347142,11.72173561,-14.30526204,6.073447067,4.298466612,8.514988132,3.100222765,2.641307403,11.20393613,0.869821656,-4.827828882,2.304510251
13/1/2000,-25.64920901,0.046712403,-17.43398097,3.186833382,-31.15389301,0.943334025,-34.23646583,0.064041922,-26.36575608,1.968995913,-10.49151491,1.065784407,-9.24250627,6.331222009,-7.864459085,3.043924204,-30.16585218,0.085527422,-22.76539607,0.891970906,-14.73567811,0.025501481,-16.42663638,0.09686876,-20.95316696,0.699658809,-21.00068138,3.850546026,-14.88803794,6.733860983,4.658105873,8.275222627,3.431025314,1.513549358,12.1352706,0.600791644,-5.639079349,1.422178482
14/1/2000,-22.99309692,0.259189114,-17.86073805,4.238460688,-33.92670185,0.322986384,-33.34132432,0.05007922,-26.42525089,2.093510502,-3.136523959,3.648807905,-13.35642964,1.756536357,-9.227060236,4.978650528,-31.34989624,0.167943525,-22.9974154,1.237081487,-14.86983335,0.220132305,-15.81744706,0.124288578,-23.76895247,0.401818399,-24.23497256,1.880210269,-16.4092478,3.398468342,4.60473308,8.194080202,3.6985783,1.32643484,12.78137412,0.789008043,-5.76455355,1.064699719
15/1/2000,-20.57198372,1.145035109,-16.35081858,4.522638179,-35.25638948,0.039324944,-33.72505514,0.09529531,-27.62608378,2.522377745,-0.610973682,8.850018128,-15.6557318,0.773234899,-6.603640571,7.947379497,-31.91187709,0.264447593,-21.52194651,2.583241497,-12.50719993,0.161966616,-17.06089795,0.273239254,-25.09372781,0.359988456,-28.11388142,0.550113065,-17.49886839,3.291023745,3.8607115,7.411335707,3.175148799,7.185189869,10.67072051,1.110064366,-5.973332926,1.206917377
16/1/2000,-21.86136818,0.392660493,-17.23785885,2.837477738,-33.60727372,0.029729103,-37.21213448,0.041564117,-27.90613634,0.403663467,1.134719632,5.72926912,-10.00404173,3.226122559,-4.104265245,20.70960618,-31.74412783,0.090830236,-23.00735817,0.633769711,-13.45433546,0.04343722,-18.09318749,0.235635818,-25.1371368,0.281194193,-30.93063525,0.050836429,-17.47649737,2.013024662,3.103118881,12.79912035,3.085392734,3.678102416,7.686830451,0.674013098,-6.823791965,0.911935995
17/1/2000,-20.94544072,0.434799192,-14.49948237,7.198645878,-35.51759221,0.173702637,-39.12068967,0.101135747,-27.09695747,0.461859583,1.492183044,5.444829251,-14.8252374,2.32345409,-4.784794372,16.16527351,-32.35048897,0.160948764,-24.58678849,0.250561908,-10.4802133,0.816047553,-17.95123457,0.244256645,-23.08913383,0.347637044,-27.11814913,0.708739095,-16.48041698,0.711996859,3.144334753,8.423434214,3.484666543,3.249751957,8.639876404,0.282844292,-7.946380196,0.425734258
18/1/2000,-15.97669356,2.742596669,-13.71354568,1.33385038,-37.28803582,0.080689207,-36.58240226,0.090531789,-28.83614175,1.245218556,-2.310361704,1.198311692,-19.28630837,1.074245772,-8.669130499,4.786097229,-30.95445367,0.487796106,-23.51522513,0.489397713,-9.343212937,5.706960436,-15.09901946,10.18767258,-18.91889618,2.20933442,-20.85094887,6.588251158,-15.41477193,0.244728178,3.472630618,7.486116234,3.864383845,16.11832721,10.34208859,0.200623304,-8.260245095,0.612014703
19/1/2000,-13.12226353,3.251912358,-14.77700948,0.122792397,-37.79818722,0.014406169,-34.70476277,0.225941874,-30.32663035,1.773409999,-2.961537856,1.164412007,-22.55515306,0.853999581,-9.549711524,7.039752936,-28.89018184,0.573953852,-23.58523821,1.179756569,-11.76289686,0.842467486,-14.66360279,15.64429021,-19.96062648,1.053023576,-22.00961277,2.652725213,-14.72344724,3.03213302,3.798017959,7.333672954,4.073163823,32.39709,10.593676,0.788144629,-7.52428086,1.292708637
